"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"MAR","Marriott International Inc. Class A","57190320","2210614",0.00139650777945752,"Consumer Discretionary",2922502,"USD"
"EMR","Emerson Electric Co.","29101110","2313405",0.00139255738971207,"Industrials",6215923,"USD"
"D","Dominion Energy Inc","25746U10","2542049",0.00138853699305974,"Utilities",9065248,"USD"
"MCO","Moody's Corporation","61536910","2252058",0.00138540668422347,"Financials",1707535,"USD"
"GD","General Dynamics Corporation","36955010","2365161",0.00138443658851382,"Industrials",2448194,"USD"
"AEP","American Electric Power Company Inc.","02553710","2026242",0.00138174632309224,"Utilities",5580832,"USD"
"EL","Estee Lauder Companies Inc. Class A","51843910","2320524",0.0013717053324481,"Consumer Staples",2520409,"USD"
"NSC","Norfolk Southern Corporation","65584410","2641894",0.0013683249989444,"Industrials",2478086,"USD"
"PSA","Public Storage","74460D10","2852533",0.00135175336398689,"Real Estate",1719715,"USD"
"PNC","PNC Financial Services Group Inc.","69347510","2692665",0.00134792298608181,"Financials",4380683,"USD"
"F","Ford Motor Company","34537086","2615468",0.00133781198853079,"Consumer Discretionary",42741096,"USD"
"DXCM","DexCom Inc.","25213110","B0796X4",0.00133378159089176,"Health Care",4195170,"USD"
"BIIB","Biogen Inc.","09062X10","2455965",0.00133191140637935,"Health Care",1568731,"USD"
"AJG","Arthur J. Gallagher & Co.","36357610","2359506",0.00131719995494756,"Financials",2307415,"USD"
"APH","Amphenol Corporation Class A","03209510","2145084",0.00130526877781762,"Information Technology",6463763,"USD"
"MRNA","Moderna Inc.","60770K10","BGSXTS3",0.00130499875117679,"Health Care",3587924,"USD"
"GM","General Motors Company","37045V10","B665KZ5",0.00130186844234052,"Consumer Discretionary",15172356,"USD"
"MNST","Monster Beverage Corporation","61174X10","BZ07BW4",0.00129510777533311,"Consumer Staples",8272480,"USD"
"PSX","Phillips 66","71854610","B78C4Y8",0.00126713501554063,"Energy",5069699,"USD"
"ECL","Ecolab Inc.","27886510","2304227",0.00125812412652632,"Materials",2695830,"USD"
"OXY","Occidental Petroleum Corporation","67459910","2655408",0.00125517383545061,"Energy",7897211,"USD"
"NXPI","NXP Semiconductors NV","N6596X10","B505PN7",0.00124809313686888,"Information Technology",2814283,"USD"
"EXC","Exelon Corporation","30161N10","2670519",0.00124583291387528,"Utilities",10810961,"USD"
"ADSK","Autodesk Inc.","05276910","2065159",0.00122784113880675,"Information Technology",2349215,"USD"
"MCHP","Microchip Technology Incorporated","59501710","2592174",0.00122700105592418,"Information Technology",5960260,"USD"
"TRV","Travelers Companies Inc.","89417E10","2769503",0.00121952031787456,"Financials",2514215,"USD"
"PH","Parker-Hannifin Corporation","70109410","2671501",0.00121773014125574,"Industrials",1395445,"USD"
"ADM","Archer-Daniels-Midland Company","03948310","2047317",0.00119905829909179,"Consumer Staples",5966604,"USD"
"CTVA","Corteva Inc","22052L10","BK73B42",0.00119679807609819,"Materials",7770823,"USD"
"TT","Trane Technologies plc","G8994E10","BK9ZQ96",0.00119191759458988,"Industrials",2501164,"USD"
"USB","U.S. Bancorp","90297330","2736035",0.00118932733903527,"Financials",15156865,"USD"
"HSY","Hershey Company","42786610","2422806",0.00118898730548756,"Consumer Staples",1598899,"USD"
"VLO","Valero Energy Corporation","91913Y10","2041364",0.00118274668978841,"Energy",4187668,"USD"
"JCI","Johnson Controls International plc","G5150210","BY7QL61",0.0011809065082361,"Industrials",7454046,"USD"
"FTNT","Fortinet Inc.","34959E10","B5B2106",0.00116653509035201,"Information Technology",7041999,"USD"
"A","Agilent Technologies Inc.","00846U10","2520153",0.00116548498674879,"Health Care",3215123,"USD"
"CTAS","Cintas Corporation","17290810","2197137",0.00116514495320108,"Industrials",939698,"USD"
"TDG","TransDigm Group Incorporated","89364110","B11FJK3",0.00116109455358866,"Industrials",564245,"USD"
"NEM","Newmont Corporation","65163910","2636607",0.00115525397735741,"Materials",8635140,"USD"
"IDXX","IDEXX Laboratories Inc.","45168D10","2459202",0.00114597306170227,"Health Care",901442,"USD"
"O","Realty Income Corporation","75610910","2724193",0.00114210267985039,"Real Estate",6812124,"USD"
"YUM","Yum! Brands Inc.","98849810","2098876",0.00112911139813054,"Consumer Discretionary",3059040,"USD"
"SYY","Sysco Corporation","87182910","2868165",0.00112803129156723,"Consumer Staples",5514353,"USD"
"HLT","Hilton Worldwide Holdings Inc","43300A20","BYVMW06",0.00111941044103411,"Consumer Discretionary",2898796,"USD"
"TEL","TE Connectivity Ltd.","H8498910","B62B7C3",0.00111860036111163,"Information Technology",3462034,"USD"
"XEL","Xcel Energy Inc.","98389B10","2614807",0.00111215972567854,"Utilities",5943355,"USD"
"DOW","Dow Inc.","26055710","BHXCF84",0.00110425894618763,"Materials",7642956,"USD"
"AFL","Aflac Incorporated","00105510","2026361",0.00110181870543348,"Financials",6089921,"USD"
"CNC","Centene Corporation","15135B10","2807061",0.00109053759243887,"Health Care",5991684,"USD"
"AIG","American International Group Inc.","02687478","2027342",0.00108992753225033,"Financials",8070111,"USD"
"PCAR","PACCAR Inc","69371810","2665861",0.00108958749870262,"Industrials",5666144,"USD"
"MSCI","MSCI Inc. Class A","55354G10","B2972D2",0.0010855270981035,"Financials",868620,"USD"
"CHTR","Charter Communications Inc. Class A","16119P10","BZ6VT82",0.00108216676657319,"Communication Services",1145910,"USD"
"HES","Hess Corporation","42809H10","2023748",0.00107025559141665,"Energy",3018702,"USD"
"WELL","Welltower Inc.","95040Q10","BYVYHH4",0.00106867543551847,"Real Estate",5132475,"USD"
"STZ","Constellation Brands Inc. Class A","21036P10","2170473",0.0010613747152294,"Consumer Staples",1762465,"USD"
"OTIS","Otis Worldwide Corporation","68902V10","BK531S8",0.00104937353119259,"Industrials",4543483,"USD"
"MET","MetLife Inc.","59156R10","2573209",0.00104872346705726,"Financials",7157996,"USD"
"ROST","Ross Stores Inc.","77829610","2746711",0.0010429028927994,"Consumer Discretionary",3745691,"USD"
"NUE","Nucor Corporation","67034610","2651086",0.00104248285135812,"Materials",2752456,"USD"
"LHX","L3Harris Technologies Inc","50243110","BK9DTN5",0.00104070267572599,"Industrials",2069439,"USD"
"WMB","Williams Companies Inc.","96945710","2967181",0.00103908251588102,"Energy",13187495,"USD"
"SPG","Simon Property Group Inc.","82880610","2812452",0.00103869247739982,"Real Estate",3556913,"USD"
"ED","Consolidated Edison Inc.","20911510","2216850",0.001028211443341,"Utilities",3854480,"USD"
"TFC","Truist Financial Corporation","89832Q10","BKP7287",0.00102265089473727,"Financials",14410097,"USD"
"CARR","Carrier Global Corp.","14448C10","BK4N0D7",0.001013870028417,"Industrials",9110654,"USD"
"PAYX","Paychex Inc.","70432610","2674458",0.0010112297679289,"Industrials",3483867,"USD"
"IQV","IQVIA Holdings Inc","46266C10","BDR73G1",0.00100741939199721,"Health Care",2017690,"USD"
"RMD","ResMed Inc.","76115210","2732903",0.000999938653947598,"Health Care",1591201,"USD"
"ON","ON Semiconductor Corporation","68218910","2583576",0.000988027478791058,"Information Technology",4688441,"USD"
"DHI","D.R. Horton Inc.","23331A10","2250687",0.000986857363347468,"Consumer Discretionary",3399262,"USD"
"ANET","Arista Networks Inc.","04041310","BN33VM5",0.000986657343613521,"Information Technology",2692446,"USD"
"CPRT","Copart Inc.","21720410","2208073",0.000985917270597917,"Industrials",4654500,"USD"
"AME","AMETEK Inc.","03110010","2089212",0.000966845388966075,"Industrials",2498443,"USD"
"KMI","Kinder Morgan Inc Class P","49456B10","B3NQ4P8",0.000966805385019286,"Energy",21458228,"USD"
"MTD","Mettler-Toledo International Inc.","59268810","2126249",0.00096652535739176,"Health Care",241974,"USD"
"COF","Capital One Financial Corp","14040H10","2654461",0.000963365045595398,"Financials",4155006,"USD"
"VICI","VICI Properties Inc","92565210","BYWH073",0.000957924508832041,"Real Estate",10919222,"USD"
"KHC","Kraft Heinz Company","50075410","BYRY499",0.000953234046070985,"Consumer Staples",8620297,"USD"
"EA","Electronic Arts Inc.","28551210","2310194",0.000951463871425555,"Communication Services",2833627,"USD"
"VRSK","Verisk Analytics Inc","92345Y10","B4P9W92",0.000946583389917249,"Industrials",1699044,"USD"
"CTSH","Cognizant Technology Solutions Corporation Class A","19244610","2257019",0.000942322969584179,"Information Technology",5536445,"USD"
"ROK","Rockwell Automation Inc.","77390310","2754060",0.000940192759417644,"Industrials",1243681,"USD"
"PPG","PPG Industries Inc.","69350610","2698470",0.000933292078596474,"Materials",2543804,"USD"
"PEG","Public Service Enterprise Group Inc","74457310","2707677",0.000932091960192793,"Utilities",5420286,"USD"
"FIS","Fidelity National Information Services Inc.","31620M10","2769796",0.000928931648396431,"Financials",6445141,"USD"
"DLTR","Dollar Tree Inc.","25674610","2272476",0.000928781633595971,"Consumer Staples",2261549,"USD"
"DVN","Devon Energy Corporation","25179M10","2480677",0.000925701329693188,"Energy",7087150,"USD"
"KR","Kroger Co.","50104410","2497406",0.000925111271478044,"Consumer Staples",7076783,"USD"
"CMI","Cummins Inc.","23102110","2240202",0.000921720936987643,"Industrials",1537206,"USD"
"FAST","Fastenal Company","31190010","2332262",0.00090834961777329,"Industrials",6210173,"USD"
"ILMN","Illumina Inc.","45232710","2613990",0.000907999583238882,"Health Care",1708336,"USD"
"ALL","Allstate Corporation","02000210","2019952",0.000889257734168053,"Financials",2880395,"USD"
"CSGP","CoStar Group Inc.","22160N10","2262864",0.00088915772430108,"Industrials",4417374,"USD"
"GWW","W.W. Grainger Inc.","38480210","2380863",0.000885737386850587,"Industrials",490074,"USD"
"WEC","WEC Energy Group Inc","92939U10","BYY8XK8",0.000884497264500116,"Utilities",3425971,"USD"
"AMP","Ameriprise Financial Inc.","03076C10","B0J7D57",0.000882467064200554,"Financials",1155648,"USD"
"RSG","Republic Services Inc.","76075910","2262530",0.000877726596506011,"Industrials",2223207,"USD"
"DD","DuPont de Nemours Inc.","26614N10","BK0VN47",0.000864475289132026,"Materials",4983962,"USD"
"BK","Bank of New York Mellon Corp","06405810","B1Z77F6",0.000863755218089817,"Financials",7959237,"USD"
"PRU","Prudential Financial Inc.","74432010","2819118",0.000856124465239741,"Financials",3996784,"USD"
"ZBH","Zimmer Biomet Holdings Inc.","98956P10","2783815",0.00084319318944007,"Health Care",2279219,"USD"
"AWK","American Water Works Company Inc.","03042010","B2R3PV1",0.000840242898364353,"Utilities",2099330,"USD"
"LEN","Lennar Corporation Class A","52605710","2511920",0.000839452820415262,"Consumer Discretionary",2759486,"USD"
"GEHC","GE Healthcare Technologies Inc.","36266G10","BL6JPG8",0.000835602440536783,"Health Care",3943342,"USD"
"ODFL","Old Dominion Freight Line Inc.","67958010","2656423",0.000831862071511975,"Industrials",983946,"USD"
"OKE","ONEOK Inc.","68268010","2130109",0.000823251221965559,"Energy",4854662,"USD"
"PCG","PG&E Corporation","69331C10","2689560",0.000816300536210903,"Utilities",17487250,"USD"
"EIX","Edison International","28102010","2829515",0.000814130322097578,"Utilities",4147871,"USD"
"KDP","Keurig Dr Pepper Inc.","49271V10","BD3W133",0.000808849801121379,"Consumer Staples",9194387,"USD"
"DLR","Digital Realty Trust Inc.","25386810","B03GQS4",0.000807469664957145,"Real Estate",3110330,"USD"
"WST","West Pharmaceutical Services Inc.","95530610","2950482",0.000805039425189689,"Health Care",805374,"USD"
"WBD","Warner Bros. Discovery Inc. Series A","93442310","BM8JYX3",0.000802619186408931,"Communication Services",24040936,"USD"
"BKR","Baker Hughes Company Class A","05722G10","BDHLTQ5",0.00080156908280571,"Energy",10875746,"USD"
"ABC","AmerisourceBergen Corporation","03073E10","2795393",0.000793558292461134,"Health Care",1759286,"USD"
"ACGL","Arch Capital Group Ltd.","G0450A10","2740542",0.000793228259900122,"Financials",4017506,"USD"
"ES","Eversource Energy","30040W10","BVVN4Q8",0.00078712765801474,"Utilities",3789166,"USD"
"GPN","Global Payments Inc.","37940X10","2712013",0.000786417587959228,"Financials",2862062,"USD"
"ANSS","ANSYS Inc.","03662Q10","2045623",0.000777376695984826,"Information Technology",947663,"USD"
"HAL","Halliburton Company","40621610","2405302",0.000775006462137555,"Energy",9863134,"USD"
"ULTA","Ulta Beauty Inc.","90384S30","B28TS42",0.000773946357547636,"Consumer Discretionary",556102,"USD"
"TSCO","Tractor Supply Company","89235610","2900335",0.000770305998389801,"Consumer Discretionary",1201305,"USD"
"SBAC","SBA Communications Corp. Class A","78410G10","BZ6TS23",0.000757864770938301,"Real Estate",1174560,"USD"
"CEG","Constellation Energy Corporation","21037T10","BMH4FS1",0.000755674554851582,"Utilities",3551191,"USD"
"HPQ","HP Inc.","40434L10","BYX4D52",0.000748493846402886,"Information Technology",9402645,"USD"
"KEYS","Keysight Technologies Inc","49338L10","BQZJ0Q9",0.000745143515859275,"Information Technology",1948030,"USD"
"VMC","Vulcan Materials Company","92916010","2931205",0.000743603363907883,"Materials",1443673,"USD"
"AVB","AvalonBay Communities Inc.","05348410","2131179",0.000733552372277049,"Real Estate",1519710,"USD"
"APTV","Aptiv PLC","G6095L10","B783TY6",0.000733542371290351,"Consumer Discretionary",2943137,"USD"
"DFS","Discover Financial Services","25470910","B1YLC43",0.000727021727963681,"Financials",2904673,"USD"
"IFF","International Flavors & Fragrances Inc.","45950610","2464165",0.000712880332773631,"Materials",2769089,"USD"
"GPC","Genuine Parts Company","37246010","2367480",0.000712330278505277,"Consumer Discretionary",1535692,"USD"
"MLM","Martin Marietta Materials Inc.","57328410","2572079",0.000711960241997476,"Materials",675466,"USD"
"EFX","Equifax Inc.","29442910","2319146",0.000710190067352045,"Industrials",1329807,"USD"
"EBAY","eBay Inc.","27864210","2293819",0.000708229873959365,"Consumer Discretionary",5893754,"USD"
"WTW","Willis Towers Watson Public Limited Company","G9662910","BDB6Q21",0.000705239578936858,"Financials",1161278,"USD"
"GLW","Corning Inc","21935010","2224701",0.000703419399357941,"Information Technology",8281420,"USD"
"CHD","Church & Dwight Co. Inc.","17134010","2195841",0.000701549214845537,"Consumer Staples",2653067,"USD"
"TROW","T. Rowe Price Group","74144T10","2702337",0.000698328897128991,"Financials",2440690,"USD"
"IT","Gartner Inc.","36665110","2372763",0.000697008766884941,"Information Technology",856218,"USD"
"PWR","Quanta Services Inc.","74762E10","2150204",0.000696038671175298,"Industrials",1554670,"USD"
"STT","State Street Corporation","85747710","2842040",0.00068739781866879,"Financials",3797060,"USD"
"CBRE","CBRE Group Inc. Class A","12504L10","B6WVMH3",0.000684387521672888,"Real Estate",3431435,"USD"
"AEE","Ameren Corporation","02360810","2050832",0.000682347320386629,"Utilities",2807873,"USD"
"FANG","Diamondback Energy Inc.","25278X10","B7Y8YR3",0.000682017287825617,"Energy",1999261,"USD"
"IR","Ingersoll Rand Inc.","45687V10","BL5GZ82",0.000680967184222395,"Industrials",4405266,"USD"
"BAX","Baxter International Inc.","07181310","2085102",0.000673286426438833,"Health Care",5490392,"USD"
"LYB","LyondellBasell Industries NV","N5374510","B3SPXZ3",0.000672876385984241,"Materials",2754186,"USD"
"URI","United Rentals Inc.","91136310","2134781",0.000669176020906223,"Industrials",752615,"USD"
"WBA","Walgreens Boots Alliance Inc.","93142710","BTN1Y44",0.000666025710096558,"Consumer Staples",7796431,"USD"
"FTV","Fortive Corp.","34959J10","BYT3MK1",0.000663005412113959,"Industrials",3841614,"USD"
"PODD","Insulet Corporation","45784P10","B1XGNW4",0.000660565171359806,"Health Care",757110,"USD"
"CDW","CDW Corporation","12514G10","BBM5MD6",0.000653504474751479,"Information Technology",1472931,"USD"
"MKC","McCormick & Company Incorporated","57978020","2550161",0.000650574185649156,"Consumer Staples",2722024,"USD"
"ALGN","Align Technology Inc.","01625510","2679204",0.000648653996203265,"Health Care",787751,"USD"
"DTE","DTE Energy Company","23333110","2280220",0.000643073445626145,"Utilities",2107752,"USD"
"HIG","Hartford Financial Services Group Inc.","41651510","2476193",0.000638132958197656,"Financials",3454668,"USD"
"ETR","Entergy Corporation","29364G10","2317087",0.000635962744084331,"Utilities",2213740,"USD"
"WY","Weyerhaeuser Company","96216610","2958936",0.000631372291190249,"Real Estate",8037920,"USD"
"EQR","Equity Residential","29476L10","2319157",0.000626831843229653,"Real Estate",3705271,"USD"
"DAL","Delta Air Lines Inc.","24736170","B1W9D46",0.000624841646876881,"Industrials",6976117,"USD"
"CLX","Clorox Company","18905410","2204026",0.000622341400202544,"Consumer Staples",1343810,"USD"
"ENPH","Enphase Energy Inc.","29355A10","B65SQW4",0.000622271393295663,"Information Technology",1478692,"USD"
"FE","FirstEnergy Corp.","33793210","2100920",0.000618981068672235,"Utilities",5875229,"USD"
"PPL","PPL Corporation","69351T10","2680905",0.000618501021310763,"Utilities",7959093,"USD"
"CAH","Cardinal Health Inc.","14149Y10","2175672",0.000613320510201536,"Health Care",2802346,"USD"
"HOLX","Hologic Inc.","43644010","2433530",0.000605449733670724,"Health Care",2712034,"USD"
"ALB","Albemarle Corporation","01265310","2046853",0.000605079697162922,"Materials",1272256,"USD"
"MPWR","Monolithic Power Systems Inc.","60983910","B01Z7J1",0.000604969686309251,"Information Technology",486849,"USD"
"VRSN","VeriSign Inc.","92343E10","2142922",0.000603869577772543,"Information Technology",1010206,"USD"
"EXR","Extra Space Storage Inc.","30225T10","B02HWR9",0.00059486868974493,"Real Estate",1456991,"USD"
"LVS","Las Vegas Sands Corp.","51783410","B02T2J7",0.000594018605875656,"Consumer Discretionary",3555661,"USD"
"DOV","Dover Corporation","26000310","2278407",0.000585767791850344,"Industrials",1524041,"USD"
"LH","Laboratory Corporation of America Holdings","50540R40","2586122",0.000577817007425953,"Health Care",962401,"USD"
"INVH","Invitation Homes Inc.","46187W10","BD81GW9",0.000567035943766212,"Real Estate",6273857,"USD"
"MTB","M&T Bank Corporation","55261F10","2340168",0.000566885928965752,"Financials",1841705,"USD"
"XYL","Xylem Inc.","98419M10","B3P2CN8",0.000564595703012059,"Industrials",1961046,"USD"
"TDY","Teledyne Technologies Incorporated","87936010","2503477",0.000564045648743705,"Information Technology",509869,"USD"
"ARE","Alexandria Real Estate Equities Inc.","01527110","2009210",0.000563945638876732,"Real Estate",1713524,"USD"
"VTR","Ventas Inc.","92276F10","2927925",0.000562845530340023,"Real Estate",4351547,"USD"
"CTRA","Coterra Energy Inc.","12709710","2162340",0.000562385484951945,"Energy",8604032,"USD"
"TTWO","Take-Two Interactive Software Inc.","87405410","2122117",0.00056176542377671,"Communication Services",1724933,"USD"
"CNP","CenterPoint Energy Inc.","15189T10","2440637",0.000560025252091371,"Utilities",6848745,"USD"
"COO","Cooper Companies Inc.","21664840","2222631",0.000551364397611468,"Health Care",536907,"USD"
"STE","STERIS Plc","G8473T10","BFY8C75",0.000551104371957337,"Health Care",1077602,"USD"
"DRI","Darden Restaurants Inc.","23719410","2289874",0.000549374201258696,"Consumer Discretionary",1326808,"USD"
"EXPD","Expeditors International of Washington Inc.","30213010","2325507",0.000547394005892621,"Industrials",1728511,"USD"
"FICO","Fair Isaac Corporation","30325010","2330299",0.000545823850981138,"Information Technology",273650,"USD"
"BALL","Ball Corporation","05849810","2073022",0.000545783847034348,"Materials",3401491,"USD"
"NDAQ","Nasdaq Inc.","63110310","2965107",0.000534362720225978,"Financials",3668960,"USD"
"K","Kellogg Company","48783610","2486813",0.000529822272265382,"Consumer Staples",2780288,"USD"
"BR","Broadridge Financial Solutions Inc.","11133T10","B1VP7R6",0.000529642254504829,"Industrials",1277987,"USD"
"OMC","Omnicom Group Inc","68191910","2279303",0.000526151910147455,"Communication Services",2215244,"USD"
"CMS","CMS Energy Corporation","12589610","2219224",0.00052583187857314,"Utilities",3168607,"USD"
"CAG","Conagra Brands Inc.","20588710","2215460",0.000524491746355695,"Consumer Staples",5149052,"USD"
"HPE","Hewlett Packard Enterprise Co.","42824C10","BYVYWS0",0.000523411639792382,"Information Technology",14007869,"USD"
"WAT","Waters Corporation","94184810","2937689",0.000519311235246469,"Health Care",647951,"USD"
"WAB","Westinghouse Air Brake Technologies Corporation","92974010","2955733",0.000519301234259772,"Industrials",1968713,"USD"
"NVR","NVR Inc.","62944T10","2637785",0.000513860697496415,"Consumer Discretionary",32713,"USD"
"LUV","Southwest Airlines Co.","84474110","2831543",0.000511480462662446,"Industrials",6449418,"USD"
"MAA","Mid-America Apartment Communities Inc.","59522J10","2589132",0.000508380156786269,"Real Estate",1256312,"USD"
"TSN","Tyson Foods Inc. Class A","90249410","2909730",0.000505799902218353,"Consumer Staples",3106691,"USD"
"FSLR","First Solar Inc.","33643310","B1HMF22",0.000500309360521509,"Information Technology",1076853,"USD"
"ATO","Atmos Energy Corporation","04956010","2315359",0.000497459079312765,"Utilities",1557491,"USD"
"MOH","Molina Healthcare Inc.","60855R10","2212706",0.000496468981629728,"Health Care",629315,"USD"
"SJM","J.M. Smucker Company","83269640","2951452",0.000495118848425586,"Consumer Staples",1161603,"USD"
"PKI","PerkinElmer Inc.","71404610","2305844",0.000487918138003495,"Health Care",1374194,"USD"
"CINF","Cincinnati Financial Corporation","17206210","2196888",0.000485137863701633,"Financials",1722650,"USD"
"FLT","FLEETCOR Technologies Inc.","33904110","B4R28B3",0.00048499784988787,"Financials",801082,"USD"
"SWKS","Skyworks Solutions Inc.","83088M10","2961053",0.000479797336805249,"Information Technology",1734877,"USD"
"IRM","Iron Mountain Inc.","46284V10","BVFTF03",0.00047647700922173,"Real Estate",3162712,"USD"
"RJF","Raymond James Financial Inc.","75473010","2718992",0.000473896754653814,"Financials",2097045,"USD"
"TYL","Tyler Technologies Inc.","90225210","2909644",0.000472106578034989,"Information Technology",452189,"USD"
"STLD","Steel Dynamics Inc.","85811910","2849472",0.000470436413256532,"Materials",1802882,"USD"
"FITB","Fifth Third Bancorp","31677310","2336747",0.000469156286959271,"Financials",7455687,"USD"
"HWM","Howmet Aerospace Inc.","44320110","BKLJ8V2",0.000468346207036786,"Industrials",3997525,"USD"
"LW","Lamb Weston Holdings Inc.","51327210","BDQZFJ3",0.000467816154741827,"Consumer Staples",1554294,"USD"
"PFG","Principal Financial Group Inc.","74251V10","2803014",0.00046365574427573,"Financials",2471330,"USD"
"SEDG","SolarEdge Technologies Inc.","83417M10","BWC52Q6",0.000463035683100495,"Information Technology",608102,"USD"
"RCL","Royal Caribbean Group","V7780T10","2754907",0.000461285510428459,"Consumer Discretionary",2370115,"USD"
"GRMN","Garmin Ltd.","H2906T10","B3Z5T14",0.000459315316049081,"Consumer Discretionary",1669981,"USD"
"TRGP","Targa Resources Corp.","87612G10","B55PZY3",0.000459045289408253,"Energy",2444627,"USD"
"IEX","IDEX Corporation","45167R10","2456612",0.000457715158177506,"Industrials",814712,"USD"
"EPAM","EPAM Systems Inc.","29414B10","B44Z3T8",0.00045464485526142,"Information Technology",620951,"USD"
"AMCR","Amcor PLC","G0250X10","BJ1F307",0.000450104407300824,"Materials",16281397,"USD"
"FDS","FactSet Research Systems Inc.","30307510","2329770",0.000445113914938848,"Financials",416173,"USD"
"BRO","Brown & Brown Inc.","11523610","2692687",0.000443903795548469,"Financials",2557217,"USD"
"DGX","Quest Diagnostics Incorporated","74834L10","2702791",0.000442683675171392,"Health Care",1207393,"USD"
"AES","AES Corporation","00130H10","2002479",0.000442313638663591,"Utilities",7266699,"USD"
"PHM","PulteGroup Inc.","74586710","2708841",0.000440963505459449,"Consumer Discretionary",2453810,"USD"
"NTRS","Northern Trust Corporation","66585910","2648668",0.000439583369295215,"Financials",2267455,"USD"
"J","Jacobs Solutions Inc.","46982L10","BNGC0D3",0.000435893005203893,"Industrials",1396235,"USD"
"AXON","Axon Enterprise Inc","05464C10","BDT5S35",0.000435712987443341,"Industrials",734460,"USD"
"RF","Regions Financial Corporation","7591EP10","B01R311",0.000434552872986449,"Financials",10189850,"USD"
"RE","Everest Re Group Ltd.","G3223R10","2556868",0.000429962420092366,"Financials",427385,"USD"
"JBHT","J.B. Hunt Transport Services Inc.","44565810","2445416",0.000427132140857017,"Industrials",901591,"USD"
