"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"APA","APA Corporation","03743Q10","BNNF1C1",0.000308770463293909,"Energy",3534922,"USD"
"BWA","BorgWarner Inc.","09972410","2111955",0.000299169516064455,"Consumer Discretionary",2581517,"USD"
"CE","Celanese Corporation","15087010","B05MZT4",0.000295499153946528,"Materials",1078946,"USD"
"BIO","Bio-Rad Laboratories Inc. Class A","09057220","2098508",0.000288638477072148,"Health Care",230437,"USD"
"ROL","Rollins Inc.","77571110","2747305",0.000284798098180366,"Industrials",2513927,"USD"
"QRVO","Qorvo Inc.","74736K10","BR9YYP4",0.000284498068579446,"Information Technology",1117924,"USD"
"CRL","Charles River Laboratories International Inc.","15986410","2604336",0.000283968016284487,"Health Care",553491,"USD"
"GL","Globe Life Inc.","37959E10","BK6YKG1",0.000280727696594546,"Financials",979494,"USD"
"FOXA","Fox Corporation Class A","35137L10","BJJMGL2",0.000280047629499126,"Communication Services",3319222,"USD"
"LYV","Live Nation Entertainment Inc.","53803410","B0T7YX2",0.000279177543656457,"Communication Services",1537312,"USD"
"ALLE","Allegion Public Limited Company","G0176J10","BFRT3W7",0.000278757502215169,"Industrials",961879,"USD"
"EMN","Eastman Chemical Company","27743210","2298386",0.00027814744202663,"Materials",1302981,"USD"
"GEN","Gen Digital Inc.","66877110","BJN4XN5",0.000277707398611947,"Information Technology",6234922,"USD"
"CCL","Carnival Corporation","14365830","2523044",0.000277187347303685,"Consumer Discretionary",10902328,"USD"
"MTCH","Match Group Inc.","57667L10","BK80XH9",0.000276617291061936,"Communication Services",3041426,"USD"
"PNR","Pentair plc","G7S00T10","BLS09M3",0.000274857117403203,"Industrials",1777137,"USD"
"REG","Regency Centers Corporation","75884910","2726177",0.000272656900329787,"Real Estate",1675496,"USD"
"CZR","Caesars Entertainment Inc","12769G10","BMWWGB0",0.000270026640828384,"Consumer Discretionary",2299957,"USD"
"TPR","Tapestry Inc.","87603010","BF09HX3",0.000269746613200858,"Consumer Discretionary",2616828,"USD"
"JNPR","Juniper Networks Inc.","48203R10","2431846",0.000268266467169651,"Information Technology",3484901,"USD"
"UHS","Universal Health Services Inc. Class B","91390310","2923785",0.000266156258976511,"Health Care",696691,"USD"
"PNW","Pinnacle West Capital Corporation","72348410","2048804",0.000262525900805373,"Utilities",1216659,"USD"
"CTLT","Catalent Inc","14880610","BP96PQ4",0.000261155765627837,"Health Care",1959183,"USD"
"AOS","A. O. Smith Corporation","83186520","2816023",0.000260225673864984,"Industrials",1389021,"USD"
"XRAY","DENTSPLY SIRONA Inc.","24906P10","BYNPPC6",0.00025914556730167,"Health Care",2342889,"USD"
"AAL","American Airlines Group Inc.","02376R10","BCV7KT2",0.000258925545594328,"Industrials",7078381,"USD"
"CDAY","Ceridian HCM Holding Inc.","15677J10","BFX1V56",0.000256615317667241,"Industrials",1656865,"USD"
"KEY","KeyCorp","49326710","2490911",0.000245514222433185,"Financials",10153719,"USD"
"PARA","Paramount Global Class B","92556H20","BKTNTR9",0.000242643939251047,"Communication Services",5464193,"USD"
"FFIV","F5 Inc.","31561610","2427599",0.0002284925430743,"Information Technology",643540,"USD"
"HII","Huntington Ingalls Industries Inc.","44641310","B40SSC9",0.000224542153328847,"Industrials",430278,"USD"
"HAS","Hasbro Inc.","41805610","2414580",0.000223762076366454,"Consumer Discretionary",1379434,"USD"
"BBWI","Bath & Body Works Inc.","07083010","BNNTGJ5",0.000223662066499481,"Consumer Discretionary",2467955,"USD"
"RHI","Robert Half International Inc.","77032310","2110703",0.000217551463627401,"Industrials",1191754,"USD"
"WHR","Whirlpool Corporation","96332010","2960384",0.00021669137877143,"Consumer Discretionary",589526,"USD"
"NRG","NRG Energy Inc.","62937750","2212922",0.000216421352130601,"Utilities",2547201,"USD"
"IVZ","Invesco Ltd.","G491BT10","B28XP76",0.000213781091642501,"Financials",4922260,"USD"
"AAP","Advance Auto Parts Inc.","00751Y10","2822019",0.000213431057108094,"Consumer Discretionary",655552,"USD"
"WRK","WestRock Company","96145D10","BYR0914",0.000211000817340639,"Materials",2749746,"USD"
"BEN","Franklin Resources Inc.","35461310","2350684",0.000210870804513573,"Financials",3102723,"USD"
"BXP","Boston Properties Inc.","10112110","2019479",0.00020881060125392,"Real Estate",1522305,"USD"
"FRT","Federal Realty Investment Trust","31374510","BN7P9B2",0.000207370459169502,"Real Estate",794206,"USD"
"VFC","V.F. Corporation","91820410","2928683",0.000204160142439653,"Consumer Discretionary",3593956,"USD"
"AIZ","Assurant Inc.","04621X10","2331430",0.000203550082251115,"Financials",576675,"USD"
"GNRC","Generac Holdings Inc.","36873610","B6197Q2",0.000199729705332728,"Industrials",676558,"USD"
"NWSA","News Corporation Class A","65249B10","BBGVT40",0.000191178861706496,"Communication Services",4222970,"USD"
"SEE","Sealed Air Corporation","81211K10","2232793",0.000182027958878423,"Materials",1607886,"USD"
"NCLH","Norwegian Cruise Line Holdings Ltd.","G6672110","B9CGTC3",0.000167006476859007,"Consumer Discretionary",4485789,"USD"
"OGN","Organon & Co.","68622V10","BLDC8J4",0.000162806062446121,"Health Care",2731850,"USD"
"ALK","Alaska Air Group Inc.","01165910","2012605",0.000152825077722168,"Industrials",1341004,"USD"
"DXC","DXC Technology Co.","23355L10","BYXD7B3",0.00014976477579278,"Information Technology",2487100,"USD"
"MHK","Mohawk Industries Inc.","60819010","2598699",0.000148984698830387,"Consumer Discretionary",555643,"USD"
"DVA","DaVita Inc.","23918K10","2898087",0.000142364045636743,"Health Care",602877,"USD"
"RL","Ralph Lauren Corporation Class A","75121210","B4V9661",0.00013268309051371,"Consumer Discretionary",446129,"USD"
"CMA","Comerica Incorporated","20034010","2212870",0.000120401878849367,"Financials",1424752,"USD"
"FOX","Fox Corporation Class B","35137L20","BJJMGY5",0.00011730157297319,"Communication Services",1513207,"USD"
"NWL","Newell Brands Inc","65122910","2635701",0.000108450699746037,"Consumer Discretionary",4082894,"USD"
"ZION","Zions Bancorporation N.A.","98970110","2989828",8.80586878701453e-05,"Financials",1631739,"USD"
"LNC","Lincoln National Corp","53418710","2516378",8.78586681361983e-05,"Financials",1676834,"USD"
"NWS","News Corporation Class B","65249B20","BBGVT51",6.0455964585466e-05,"Communication Services",1325124,"USD"
"DISH","DISH Network Corporation Class A","25470M10","2303581",4.80947450275444e-05,"Communication Services",2671137,"USD"
